Year,Age_0_14,Age_15_64,Rural_Population,Labor_Force_Participation,Birth_Rate,Death_Rate,Fertility_Rate,GDP_Growth,Infant_Mortality,Age_65_Plus,Life_Expectancy,Literacy_Rate,Net_Migration,Population,Population_Density,Population_Growth,Urban_Population
1993,37.8896244154385,57.9978926827321,680737472.0,58.027,30.771,10.001,3.799,4.75077621776924,79.0,4.11248290182939,59.823,50.77800064086912,2364.0,922118387.0,310.144453264003,2.09986069412181,26.1767814681192
1994,37.6354900955109,58.2183206494931,692969292.0,58.063,30.295,9.777,3.723,6.65892407028434,77.3,4.14618925499594,60.237,52.05700035095213,-375253.0,941163767.0,316.550158920217,2.04435418122792,26.3710188638872
1995,37.3483016526577,58.4681391112119,705185767.0,58.395,29.77,9.572,3.651,7.57449183788519,75.6,4.18355923613031,60.63,53.336000061035136,-57297.0,960301044.0,322.986773129198,2.01296632914892,26.5661772139368
1996,37.0248809038195,58.751339330383,717468852.0,58.729,29.217,9.371,3.582,7.54952224920051,73.9,4.22377976579751,61.027,54.61499977111815,-26388.0,979678458.0,329.5041547967,1.99775909414655,26.7648638746349
1997,36.6813678630757,59.0516480610389,729670522.0,59.066,28.685,9.174,3.514,4.04982084998183,72.1,4.26698407588542,61.439,55.89399948120116,880.0,999133762.0,336.047733915424,1.966425183613,26.9696862023486
1998,36.3196138518854,59.3675103695515,741758789.0,59.404,28.199,8.988,3.446,6.18441582172117,70.2,4.31287577856306,61.852,57.17299919128417,-1049.0,1018665080.0,342.61687951325,1.93596384442712,27.1832515534447
1999,35.9382456334839,59.7005235536315,753667153.0,59.743,27.73,8.805,3.383,8.84575555939531,68.3,4.36123081288453,62.284,58.45199890136718,-95320.0,1038225823.0,349.195921888611,1.90202919152067,27.4081672842903
2000,35.5530832514968,60.0363292788794,765438404.0,60.079,27.518,8.628,3.35,3.84099115659129,66.3,4.41058746962383,62.749,59.73099861145019,-143960.0,1057922733.0,355.82076254797,1.87939826197393,27.6470407512523
2001,35.1665921350717,60.3721236017034,777133989.0,59.923,27.206,8.482,3.303,4.82396626555771,64.3,4.46128426322486,63.158,61.0099983215332,-70346.0,1077898575.0,362.539418940599,1.87060822112685,27.9028652096636
2002,34.7802511535299,60.7034726242062,788343923.0,59.765,26.538,8.294,3.217,3.80397532112175,62.4,4.51627622226394,63.649,61.35799865722656,-732419.0,1097600380.0,369.165905979773,1.81129424097937,28.1756878910456
2003,34.3900068263248,61.0366264092953,798893541.0,59.606,25.783,8.125,3.122,7.8603814759073,60.4,4.57336676437993,64.086,61.70599899291992,-606970.0,1116803006.0,375.624499611528,1.73438204419235,28.4660287698
2004,33.9801045969698,61.3938727280818,809137143.0,59.445,25.121,7.982,3.046,7.92293661199932,58.5,4.62602267494844,64.484,62.05399932861328,-206660.0,1135991513.0,382.078344471763,1.7035704679088,28.7726067228528
2005,33.561919528129,61.7634053727483,818728445.0,59.289,24.304,7.819,2.958,7.92343062148318,56.5,4.67467509912271,64.939,62.40199966430664,-929454.0,1154676322.0,388.36277600826,1.63142146860079,29.0945497159107
2006,33.1286520695793,62.1494488498081,827689071.0,58.345,23.564,7.67,2.867,8.06073257166651,54.5,4.72189908061262,65.373,62.75,-342177.0,1172878890.0,394.485011048739,1.56412522526913,29.4309857146804
2007,32.6823291810805,62.5476673904344,836080287.0,57.418,22.932,7.536,2.775,7.6608150670107,52.5,4.7700034284851,65.803,64.14395432520925,-1037200.0,1190676021.0,400.470881780175,1.50599144392136,29.7810426848684
2008,32.2404380107605,62.9374830161807,843814083.0,56.511,22.506,7.41,2.711,3.08669805921981,50.5,4.82207897305879,66.247,65.5379086504185,-1020047.0,1207930964.0,406.274393496547,1.43877181746736,30.1438485921815
2009,31.797288593811,63.3246171976748,851512596.0,55.627,22.211,7.29,2.674,7.86188883286074,48.4,4.87809420851412,66.7,66.93186297562775,-312905.0,1225524753.0,412.191872366045,1.44601731955273,30.5185314023263
2010,31.3423674128553,63.7171853960836,859193297.0,54.766,21.633,7.164,2.598,8.49758470221235,46.3,4.94044719106105,67.162,68.325817300837,-50905.0,1243481564.0,418.231449722352,1.45460361883041,30.9042190810094
2011,30.8799657912256,64.1076284698584,866781260.0,54.131,21.156,7.048,2.532,5.24131619937695,44.2,5.0124057389161,67.623,69.3000030517578,-247017.0,1261224954.0,424.199245255096,1.41682761544376,31.2746502853309
2012,30.4154795250561,64.4911322144707,874742588.0,53.509,20.672,6.945,2.47,5.45638755166587,42.2,5.09338826047327,68.076,69.8279300354369,-198935.0,1278674502.0,430.068210238834,1.37405616603306,31.5898935604399
2013,29.9403754395359,64.8769968339134,882334475.0,53.364,20.061,6.859,2.399,6.38610640094825,40.1,5.18262772655076,68.499,70.4713337755427,-151372.0,1295829511.0,435.838110245225,1.33270430507476,31.9096789235237
2014,29.4366305001804,65.2562148871274,889345693.0,53.206,19.089,6.77,2.293,7.41022760508854,38.2,5.30715461269221,68.932,71.1147375156485,-227263.0,1312277191.0,441.370107863944,1.26129027125347,32.2288233408821
2015,28.9130012076453,65.6177857140772,895788394.0,53.031,18.936,6.729,2.289,7.99625378571471,36.3,5.46921307827757,69.326,71.75814125575431,-655085.0,1328024498.0,446.666542669658,1.19285563384335,32.5472990022299
2016,28.3851530629213,65.9731160836743,902255954.0,52.852,18.756,6.7,2.284,8.25630550179086,34.6,5.64173085340436,69.709,72.4015449958601,81248.0,1343944296.0,452.020992940243,1.19162966402099,32.8650780972823
2017,27.8478721919213,66.3274225183491,908494076.0,52.671,17.995,6.673,2.193,6.79538341897911,32.9,5.8247052897296,70.068,73.0449487359659,-251642.0,1359657400.0,457.30592394028,1.1623961434697,33.1821328157539
2018,27.3277554659182,66.6529850197096,914169786.0,52.482,17.91,6.67,2.184,6.45385134497769,31.3,6.01925951437221,70.415,73.6883524760717,-589794.0,1374659064.0,462.351569862673,1.09729906702925,33.4984353473598
2019,26.832323620307,66.944203338595,919344187.0,52.284,17.368,6.67,2.12,3.87143694070356,29.8,6.22347304109804,70.746,74.8938629973395,-978969.0,1389030312.0,467.185182245332,1.04001395098104,33.8139578818147
2020,26.3453740591996,67.2377729174314,923922894.0,51.547,16.744,7.214,2.047,-5.77772470686801,28.3,6.41685302336898,70.156,75.5270629470344,-73806.0,1402617695.0,471.755150192218,0.973438646910149,34.1286726088333
2021,25.9051614152815,67.5490478920304,927115988.0,52.522,16.491,9.259,2.014,9.68959249192875,27.0,6.54579069268807,67.282,76.0596617430205,-348916.0,1414203896.0,475.652042419085,0.822648220128724,34.4425517181304
2022,25.4877038842946,67.8132963616236,930009287.0,53.587,16.336,6.576,1.994,7.60936497768895,25.7,6.69899975408181,71.698,76.3199996948242,-1353478.0,1425423212.0,479.425536881262,0.790200540609834,34.7555673994206
2023,25.0570622244071,68.0210944742065,933771782.0,54.697,16.146,6.611,1.975,9.19075493028345,24.5,6.92184330138637,72.003,81.6999969482422,-979179.0,1438069596.0,483.679010086809,0.883289539766135,35.0676918424186
2024,24.6239027058366,68.2295801537644,937610709.0,55.639,15.981,6.587,1.962,6.49476552383821,23.3,7.14651714039908,72.235,78.1625330351403,-630830.0,1450935791.0,483.679010086809,0.890706546985984,35.3788972368389
2025,24.6239027058366,68.2295801537644,937610709.0,55.658,15.981,6.587,1.962,6.49476552383821,23.3,7.14651714039908,72.235,78.1625330351403,-495753.0,1450935791.0,483.679010086809,0.890706546985984,35.3788972368389
