Year,Age_0_14,Age_15_64,Rural_Population,Labor_Force_Participation,Birth_Rate,Death_Rate,Fertility_Rate,GDP_Growth,Infant_Mortality,Age_65_Plus,Life_Expectancy,Literacy_Rate,Net_Migration,Population,Population_Density,Population_Growth,Urban_Population,Prev_Population,Population_Lag_2,Population_Lag_3,Population_MA3,Population_Change,Population_Growth_Rate,Birth_Rate_Lag_1,Birth_Rate_Change,Death_Rate_Lag_1,Death_Rate_Change,Fertility_Rate_Lag_1,Fertility_Rate_Change,Life_Expectancy_Lag_1,Life_Expectancy_Change,GDP_Growth_Lag_1,GDP_Growth_Change,Net_Migration_Lag_1,Net_Migration_Change,Literacy_Rate_Lag_1,Literacy_Rate_Change,Urban_Population_Lag_1,Urban_Population_Change,Infant_Mortality_Lag_1,Infant_Mortality_Change,Population_Density_Lag_1,Population_Density_Change,Birth_Death_Ratio
1983,39.4707064279418,56.551028608389,558530665.0,57.937,36.125,12.773,4.565,7.28889290305703,99.8,3.97826496366921,55.283,42.25199890136718,119694.0,737372681.0,248.007251806982,2.3406940951715,24.2539519859126,720313473.0,703696250.0,687354025.0,703787916.0,16617223.0,2.3614198597761464,36.403,-0.3580000000000041,13.093,-0.3309999999999995,4.62,-0.07800000000000029,54.735,0.5619999999999976,3.47573323969961,-2.53047038631536,-10687.0,-43930.0,41.5059986114502,0.7460002899169993,24.0306681216752,0.24313327610499869,102.4,-2.799999999999997,242.26957342114,5.589021555971982,2.780340640036661
1984,39.370183967925,56.6451173589565,570227907.0,57.937,35.917,12.471,4.516,3.82073785610604,97.5,3.98469867311846,55.813,42.99799919128417,-32313.0,754875449.0,253.894116756749,2.34593300498783,24.4606633455594,737372681.0,720313473.0,703696250.0,720460801.3333334,17059208.0,2.368303334512251,36.125,-0.2779999999999987,12.773,-0.3200000000000003,4.565,-0.054999999999999716,55.283,0.5480000000000018,7.28889290305703,3.81315966335742,119694.0,130381.0,42.25199890136718,0.746000289916978,24.2539519859126,0.22328386423740199,99.8,-2.6000000000000085,248.007251806982,5.737678385842003,2.828231425663509
1985,39.2770162225779,56.7327689888321,582152802.0,57.937,35.42,12.164,4.432,5.25429922311382,95.2,3.99021478858997,56.324,43.74399948120116,-89991.0,772647793.0,259.871650651321,2.3270540843985,24.654828858249,754875449.0,737372681.0,720313473.0,737520534.3333334,17502768.0,2.3736664580878335,35.917,-0.2079999999999984,12.471,-0.3019999999999996,4.516,-0.04900000000000038,55.813,0.5300000000000011,3.82073785610604,-3.4681550469509896,-32313.0,-152007.0,42.99799919128417,0.7460002899169922,24.4606633455594,0.20671135964679976,97.5,-2.299999999999997,253.894116756749,5.886864949767016,2.8800416967364284
1986,39.1796534823412,56.8247451594739,594278830.0,57.937,35.22,11.879,4.399,4.77656416847516,93.0,3.99560135818491,56.819,44.48999977111815,-249545.0,790689978.0,265.939942620552,2.30826458791438,24.8404751816147,772647793.0,754875449.0,737372681.0,754965307.6666666,17772344.0,2.3543412391465917,35.42,-0.4969999999999999,12.164,-0.3070000000000004,4.432,-0.08399999999999963,56.324,0.5109999999999957,5.25429922311382,1.4335613670077803,-89991.0,-57678.0,43.74399948120116,0.7460002899169851,24.654828858249,0.19416551268960092,95.2,-2.299999999999997,259.871650651321,5.9775338945719625,2.9118710950345283
1987,39.0660255969583,56.9321068525389,606523489.0,57.937,34.442,11.577,4.311,3.96535563481719,90.8,4.00186755050278,57.291,45.23600006103514,-219150.0,808931270.0,272.075202055704,2.2808002561271,25.0216289732896,790689978.0,772647793.0,754875449.0,772737740.0,18042185.0,2.3351111804702973,35.22,-0.20000000000000284,11.879,-0.28500000000000014,4.399,-0.03300000000000036,56.819,0.49500000000000455,4.77656416847516,-0.4777350546386607,-249545.0,-159554.0,44.48999977111815,0.7460002899169922,24.8404751816147,0.18564632336569886,93.0,-2.200000000000003,265.939942620552,6.068291969231041,2.9648960350197826
1988,38.9229795130071,57.0666278323093,618833388.0,57.937,33.892,11.286,4.222,9.62778291607844,88.6,4.01039265468364,57.744,45.98200035095213,-155676.0,827342990.0,278.267783088198,2.25053923542519,25.2023168909072,808931270.0,790689978.0,772647793.0,790756347.0,18241292.0,2.307009385162588,34.442,-0.7779999999999987,11.577,-0.3019999999999996,4.311,-0.08800000000000008,57.291,0.4719999999999942,3.96535563481719,-0.8112085336579695,-219150.0,30395.0,45.23600006103514,0.7460002899169922,25.0216289732896,0.18115379167490175,90.8,-2.200000000000003,272.075202055704,6.135259435151966,2.97503671071953
1989,38.7520975394047,57.2258215963335,631259149.0,57.937,33.279,11.0,4.132,5.94734333181324,86.4,4.02208086426184,58.196,46.72800064086912,-2907.0,846039529.0,284.556159882147,2.23467340339487,25.3865655921008,827342990.0,808931270.0,790689978.0,808988079.3333334,18411720.0,2.276054923677261,33.892,-0.5499999999999972,11.286,-0.29100000000000037,4.222,-0.08899999999999952,57.744,0.45300000000000296,9.62778291607844,5.66242728126125,-155676.0,63474.0,45.98200035095213,0.7460002899169851,25.2023168909072,0.18068791761759684,88.6,-2.200000000000003,278.267783088198,6.19258103249399,3.003012581959951
1990,38.5602244453119,57.4019050737805,643726151.0,57.937,32.569,10.726,4.045,5.53345456125301,84.4,4.03787048090769,58.618,47.4740009307861,125514.0,864972221.0,290.923964159707,2.213130886438,25.5784017345035,846039529.0,827342990.0,808931270.0,827437929.6666666,18696539.0,2.259829263797836,33.279,-0.6129999999999995,11.0,-0.2859999999999996,4.132,-0.09000000000000075,58.196,0.4519999999999982,5.94734333181324,-3.6804395842651996,-2907.0,152769.0,46.72800064086912,0.7460002899169922,25.3865655921008,0.18424870119360293,86.4,-2.1999999999999886,284.556159882147,6.288376793949055,3.0253636363636365
1991,38.3509937701057,57.5905921154682,656053177.0,57.966,32.023,10.472,3.959,1.05683143496063,82.5,4.05841411442611,59.032,48.2200012207031,-157911.0,883927600.0,297.299398962058,2.16777668657973,25.7797610905819,864972221.0,846039529.0,827342990.0,846118246.6666666,18932692.0,2.237802295405514,32.569,-0.7100000000000009,10.726,-0.27399999999999913,4.045,-0.08699999999999974,58.618,0.42200000000000415,5.53345456125301,-0.4138887705602299,125514.0,128421.0,47.4740009307861,0.746000289916978,25.5784017345035,0.19183614240269975,84.4,-2.0,290.923964159707,6.367804277559969,3.0364534775312326
1992,38.1269662687286,57.7896275290253,668361079.0,57.997,31.414,10.225,3.877,5.48239602040357,80.7,4.08340620224614,59.445,49.49900093078611,35155.0,902957070.0,303.699753463452,2.12998519274824,25.9808576702657,883927600.0,864972221.0,846039529.0,864979783.3333334,18955379.0,2.1914436718078143,32.023,-0.5459999999999994,10.472,-0.25400000000000134,3.959,-0.08599999999999985,59.032,0.4139999999999944,1.05683143496063,-4.47662312629238,-157911.0,-283425.0,48.2200012207031,0.7460002899169993,25.7797610905819,0.20135935607839883,82.5,-1.9000000000000057,297.299398962058,6.375434802350981,3.057964094728801
