"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Bangladesh","BGD","Rural population","SP.RUR.TOTL","49179087","50497102","51881572","53308485","54772068","56269402","57791268","59363536","60966487","62533743","63960674","64852138","65848329","67465118","69047045","70353461","71429515","72368446","73235900","74116000","75099927","76402149","77957920","79523169","81060379","82568727","84033779","85453350","86818286","88148988","89459344","90726233","92009997","93321203","94663971","96043620","97419871","98838822","100302391","101779919","103175957","104382940","105432254","106358527","107163593","107846612","108416676","108897461","109307449","109668406","110003316","110416600","110908001","111387170","111847946","112302169","112768738","113203368","113619833","114082169","114551246","115015289","115734374","116326899","116845100","",
"Bulgaria","BGR","Rural population","SP.RUR.TOTL","4947765","4891811","4863748","4824397","4639173","4454884","4376430","4321120","4267692","4166815","4047541","3942233","3844353","3769739","3637610","3661915","3635353","3572891","3480030","3399836","3354856","3288781","3220215","3160573","3081544","3140135","3112901","3050114","2990551","2901609","2873652","2841082","2805385","2759642","2725379","2703934","2701344","2688169","2653285","2623459","2592956","2467079","2391438","2349638","2321283","2291031","2241730","2211960","2180178","2136426","2106641","2012695","1989504","1935830","1903888","1878543","1849353","1810372","1771636","1739125","1747464","1734406","1714549","1693375","1677994","",
"Bahrain","BHR","Rural population","SP.RUR.TOTL","29298","30461","31656","32886","34158","35517","37711","40789","44018","46774","48767","50457","52812","55373","57848","60226","62493","64634","66643","68516","70257","71617","72072","71594","70451","68814","66874","64849","62995","61606","61016","58283","59714","61526","63542","65727","68040","70435","72859","75253","77558","80418","84252","85377","83553","78499","69932","57572","40320","19706","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Bahamas, The","BHS","Rural population","SP.RUR.TOTL","49318","51265","53282","55278","57048","58644","60269","61902","63516","64973","65932","66339","66386","66171","65806","65366","64886","64371","63809","63196","62530","61651","60507","59226","57891","56596","55428","54469","53847","53695","54081","54742","55524","56387","57230","58047","58838","59585","60272","60876","61412","61788","61994","62150","62279","62380","62570","62906","63317","63863","64603","65376","66102","66834","67598","68372","69157","69969","70829","71729","72584","73415","74260","74610","74940","",
"Bosnia and Herzegovina","BIH","Rural population","SP.RUR.TOTL","2657803","2689462","2712887","2729420","2741233","2749325","2754415","2756597","2755534","2751326","2744556","2738433","2732699","2724618","2714957","2704647","2694089","2683651","2674121","2666720","2663146","2664596","2669669","2676769","2684666","2692334","2698788","2703382","2705582","2704693","2700188","2691774","2542779","2331762","2212648","2194680","2276384","2347317","2375608","2386031","2389622","2387456","2378887","2360105","2325659","2287601","2256121","2215707","2166844","2117413","2068135","2018592","1968444","1924753","1884697","1844730","1805097","1766051","1728321","1690664","1650628","1606555","1569663","1542667","1514967","",
"Belarus","BLR","Rural population","SP.RUR.TOTL","5520285","5467651","5434186","5404254","5371818","5336183","5296767","5251701","5195584","5133764","5064757","4993333","4909400","4813333","4715875","4615449","4518156","4430147","4346709","4273160","4187856","4114209","4040816","3963363","3885084","3808950","3736106","3657628","3558924","3475438","3420872","3363396","3338655","3325852","3297314","3260367","3223251","3175397","3119949","3060084","3002143","2947318","2872801","2810762","2747224","2702899","2630656","2572724","2519850","2453041","2413623","2359757","2311820","2271120","2235469","2211395","2192552","2173598","2150790","2123677","2083378","2034374","1986501","1944455","1903687","",
"Belize","BLZ","Rural population","SP.RUR.TOTL","42111","43165","44245","45428","46709","48063","49488","50978","52509","54003","55233","56254","57281","58346","59471","60872","62564","64332","66144","68034","70126","72472","74989","77618","80330","83094","85869","88622","91322","93932","96376","98572","100618","102609","104712","107241","110345","113958","117896","121949","125977","130087","134439","139063","143933","149021","154278","159653","165086","170503","175522","180204","184963","189815","194751","199792","205414","211154","216102","220278","224131","227755","233032","238664","242931","",
"Bermuda","BMU","Rural population","SP.RUR.TOTL","143","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Bolivia","BOL","Rural population","SP.RUR.TOTL","2336386","2377426","2419471","2462635","2506840","2552031","2598259","2645618","2694045","2743157","2792571","2842198","2891754","2941264","2990855","3040204","3090026","3136674","3173843","3201307","3219526","3229239","3231188","3226570","3217009","3203624","3188064","3172527","3158756","3148162","3142320","3143188","3152122","3166070","3181396","3197811","3215092","3232533","3249716","3266702","3282563","3296501","3309262","3322343","3335959","3349904","3364666","3379748","3394130","3407718","3420497","3432355","3443070","3453719","3467584","3481109","3494356","3507315","3520020","3532520","3539659","3540019","3546425","3561196","3570548","",
"Brazil","BRA","Rural population","SP.RUR.TOTL","40044415","40657790","41275384","41887978","42479072","43027819","43517490","43932686","44262673","44504039","44651725","44639449","44404743","43978158","43393068","42695640","41942482","41187012","40484640","39894960","39491763","39237940","39021536","38829411","38655809","38491837","38325460","38146555","37950221","37729927","37479840","37182380","36885494","36626209","36358554","36043470","35628437","34997533","34188743","33390105","32805167","32446394","32140714","31872619","31636261","31426749","31232272","31038998","30832640","30598647","30326272","30029762","29733436","29438979","29146127","28852569","28554777","28252576","27943874","27633484","27311161","26956386","26604695","26147729","25660615","",
