year,population_growth,birth_rate,death_rate,fertility_rate,life_expectancy,urban_population,gdp_growth,prev_population,population_ma3,population_change,population_lag_1,population_lag_2,birth_rate_lag_1,birth_rate_lag_2,death_rate_lag_1,death_rate_lag_2,fertility_rate_lag_1,fertility_rate_lag_2,gdp_growth_lag_1,gdp_growth_lag_2
1987,0.8075886897934808,0.4058321794340369,0.0026838294183799496,0.21547836064668643,-0.11059041532473057,-0.11338460732527962,-0.39291370920612456,-0.2876890484330269,-0.2959150164692377,0.5131032085333059,-0.2876890484330269,-0.29604600667660563,0.4591436828470985,0.42872545485821484,0.021117170490446792,0.03382609252944507,0.22937237613367203,0.19449846433720905,-0.12114595688345402,0.04696656572586018
1988,0.7209998373056794,0.3258524657165427,-0.07420943775956232,0.13458709615447717,-0.04516893826099097,-0.06742262007022347,1.4820173539935964,-0.216560132152868,-0.2250262007042206,0.5816480215813983,-0.216560132152868,-0.2250833866636848,0.3444820237246748,0.398755338352692,-0.05750179491778671,-0.039403316900923566,0.14950402140577032,0.16445616298996907,-0.39056407194124254,-0.11246928375914275
1989,0.6756013623896338,0.2367114393368625,-0.14978151477980778,0.05278694104999478,0.020108120531084062,-0.020554868381682762,0.26335790637387235,-0.1447666599331521,-0.1532989071096173,0.6403197679195999,-0.1447666599331521,-0.15333764895282925,0.26342301020625214,0.28217158514621,-0.13325715562572052,-0.1170007963674895,0.0687280717377793,0.0843433593973299,1.4900380438797274,-0.383196165568279
1990,0.6139596272555438,0.13346489981064213,-0.2221827354215813,-0.026286542217670645,0.08105263117324345,0.0282429175933178,0.1263119234257138,-0.07186258289410659,-0.08071349353287409,0.7383718962101403,-0.07186258289410659,-0.0809215923530164,0.17307905513935523,0.19975376475602374,-0.2077108778335178,-0.19177187757533964,-0.012955472870302614,0.003320183036593061,0.26769255041518214,1.5065414514834556
1991,0.48418316796439714,0.05406685673836581,-0.28929919543256893,-0.10445113487306415,0.14084179564209037,0.07946314460013106,-1.3559781512742464,0.001962333905977157,-0.007221377841293909,0.8196702093570721,0.001962333905977157,-0.007385299902087946,0.06843923768829989,0.10789535766659761,-0.2790406676409878,-0.26525823230195505,-0.09191623265811424,-0.07861336609224305,0.130232048236912,0.27825810510147375
1992,0.3760466276638264,-0.0344924989960966,-0.354565989222781,-0.17898016507936998,0.20048654183927475,0.1306165285913251,0.10940552630568862,0.07587571492908018,0.06698369238463717,0.8274804630077327,0.07587571492908018,0.06707981772183985,-0.012030255731807264,0.0015014440719928995,-0.3451639034479131,-0.33566124347360743,-0.1699693975058362,-0.15781579691678374,-1.3565414686431745,0.14012985370806302
1993,0.2898484192977658,-0.12799605521491306,-0.4137553082875888,-0.24987363283658734,0.2550766485282227,0.18045410056978348,-0.13284689059521565,0.15007800161391557,0.14162536839852655,0.8529871189442202,0.15007800161391557,0.14163416671991846,-0.10178469070038869,-0.08031697398808321,-0.40946484535464717,-0.40092534872032226,-0.24439218259319936,-0.23610785497322637,0.11327451480068554,-1.353866042206409
1994,0.13102214227209139,-0.19721486199587185,-0.47294462735239656,-0.31894931936926085,0.3148658129970706,0.22986269870105552,0.49897503031455986,0.22479440397788106,0.21656686328861585,0.8983769242546906,0.22479440397788106,0.21647992673497632,-0.1965500465046543,-0.17157597874739924,-0.46777825016075425,-0.46439083689330835,-0.315184587920203,-0.3107584219572767,-0.12971063634887173,0.12308994475695538
1995,0.04120897567900691,-0.27355913418075334,-0.5271134238179572,-0.38438944345284626,0.3716221937609769,0.27950556202012405,0.8021359121540693,0.2990587290894911,0.29162638551026077,0.8584643145003541,0.2990587290894911,0.29184426077867,-0.26670293820423485,-0.2679299033126539,-0.5260916549668614,-0.5219465832526157,-0.3841618033670272,-0.38176749786893394,0.5040223390156864,-0.12107556832493718
1996,-0.002304990400942212,-0.3539751008821616,-0.5802252681573602,-0.44710289569961553,0.4289562476115384,0.3300459295619238,0.7938680342397415,0.3736813914295934,0.3668272858558485,0.8901008852119843,0.3736813914295934,0.36675259721029857,-0.34407745110818444,-0.3392587805957971,-0.5794588334724504,-0.5795023296119229,-0.44950863905349225,-0.45095582824439506,0.8081001832691003,0.5157359255245858
1997,-0.09196380871318263,-0.4313372966961745,-0.6322801603706065,-0.5089074573341129,0.4884565755370582,0.3821470403614386,-0.3649457640466139,0.4492404284831079,0.44231157585563013,0.9727707349456941,0.4492404284831079,0.44202237832788543,-0.4255786047003445,-0.4179303364227938,-0.6317847011779301,-0.632176115342539,-0.5121326899196879,-0.5165026675474634,0.7998072977309518,0.8212909049450059
1998,-0.17912585229820063,-0.5020102800901783,-0.6814284342369201,-0.5707120189686099,0.5481013217342415,0.436472133453576,0.3418568527584824,0.5251031847736732,0.5183334402808134,0.9995852391485395,0.5251031847736732,0.5182366542880894,-0.5039847777763464,-0.5007977085605634,-0.6830692580833012,-0.6838221198881671,-0.5738491458457937,-0.5793183885462373,-0.36251153290421767,0.8129577346143417
1999,-0.27622643207328607,-0.5702111632420057,-0.7297839940086156,-0.6279721275417472,0.6104900150930395,0.4936844478733225,1.2230740933588078,0.601262345148013,0.5948720501616405,1.0257539093562051,0.601262345148013,0.5947572833021394,-0.5756114697217162,-0.5805182184652531,-0.7314902102883722,-0.734440343248808,-0.6355656017718991,-0.6412237367769129,0.34642893041236456,-0.355007354215732
2000,-0.3409825498357245,-0.6010397074385672,-0.7765541255910752,-0.6579655177467237,0.6776445114167458,0.5544472226556102,-0.43409301479403284,0.6775362434675346,0.6716510777341237,1.0358837949149253,0.6775362434675346,0.6715768867806272,-0.6447327012492444,-0.653345601573672,-0.7791301793933615,-0.7822321683507328,-0.6927440829975562,-0.7031290850075883,1.2303115646585063,0.35737696701246396
2001,-0.3661343633772126,-0.6464100177655825,-0.8151328781958161,-0.7006833765235088,0.7367115845272739,0.6195218588131668,-0.10861235524501374,0.7543411025952665,0.7487469474691134,1.0827608085725045,0.7543411025952665,0.7485122231979958,-0.6759772664599819,-0.7236255247791223,-0.825208182298187,-0.8292531575639168,-0.7226947160205193,-0.7604825693977733,-0.4318679314466143,1.2455532850873523
2002,-0.5358553231573402,-0.7435490155170121,-0.864809628125208,-0.7788479691789023,0.8076209559142405,0.6889203707330843,-0.4463496207166915,0.8322336111546208,0.8264257660772532,1.1787862712289179,0.8322336111546208,0.8259831248520194,-0.7219598341286149,-0.755393848274976,-0.8632160265021677,-0.8747324749996194,-0.7653516782047396,-0.7905248707450129,-0.10540279946352536,-0.4247006690355884
2003,-0.7559318013338877,-0.8533393498019363,-0.9094658554553533,-0.8651925773447443,0.8707317406313573,0.7627750254597704,0.8967990903900968,0.9090575575293083,0.9042895734237826,1.0844459671047029,0.9090575575293083,0.9045511079030825,-0.820409690547354,-0.8021472300235912,-0.9121576341072929,-0.912246488251668,-0.8434048430524616,-0.833312390845627,-0.44416160958942524,-0.09664964996349594
2004,-0.8440960129780951,-0.9496058415855392,-0.947251893965476,-0.9342682638774178,0.9282102127535823,0.8407599408690873,0.9175122160508451,0.983935037540768,0.9815051766220195,0.9125980098127255,0.983935037540768,0.9820412623263778,-0.9316816091044618,-0.902247419152036,-0.9561530154119006,-0.9605522039460863,-0.9296263623609919,-0.9116044489020696,0.9030496866269457,-0.4370540668345986
2005,-1.0505430829485203,-1.0684120708713447,-0.9903226931063853,-1.0142506377573552,0.993920526360649,0.9226532956594063,0.9176757914365937,1.0587574628352177,1.0576882685249356,0.9077373860504971,1.0587574628352177,1.057568070863605,-1.029247185375728,-1.0153846089603829,-0.9933798765157993,-1.0039759590118138,-0.9986035778078162,-0.9980898618713961,0.9238254627114234,0.916701649571001
2006,-1.243104482123679,-1.176021140236701,-1.029694159805744,-1.096959683474109,1.0565980562627761,1.0082332685290984,0.9631389256455833,1.1316158006696078,1.1325376716456985,0.7343337124343106,1.1316158006696078,1.1330393472559197,-1.1496566654567308,-1.1145856945936625,-1.0358132916202434,-1.0407191363751216,-1.0784719325357175,-1.0672781922468573,0.92398953285916,0.9375783492513808
2007,-1.4094484223121337,-1.2679251021811675,-1.065102056032013,-1.1805776198031348,1.1186979130782448,1.0972780381764824,0.8307190790052777,1.2025937190843725,1.2060755984813014,0.5683168512032885,1.2025937190843725,1.2065295038572958,-1.2587178836451542,-1.2370136205187217,-1.0746021189243056,-1.0826012196633674,-1.1610630720838886,-1.1473909958394959,0.9695901781646835,0.9377432164114274
2008,-1.601790590034952,-1.3298730258968994,-1.0983960480059671,-1.238746618988544,1.1828196256970096,1.1895657832999549,-0.6838529655662235,1.2719907026382797,1.2777888745189105,0.4287406265211856,1.2719907026382797,1.2781229342673794,-1.3518620591790516,-1.3479030515891544,-1.109486030727959,-1.1208860688041566,-1.2445618065721495,-1.2302349177364298,0.8367698048420191,0.9835653784045095
2009,-1.5810583180653373,-1.3727712359817377,-1.1301046117906857,-1.2723755716426088,1.2482411027607492,1.2848746825978614,0.8972982032678352,1.339273513311225,1.347627023963907,0.24208633964569087,1.339273513311225,1.3481217201391114,-1.4146459496496844,-1.4426086197466055,-1.142287320931394,-1.1553167385012424,-1.3026478827378962,-1.3139892124014616,-0.682383324299482,0.8500997964682038
2010,-1.5564894904340798,-1.4568226442157592,-1.16339860376464,-1.3414512581752824,1.3149623442694638,1.382982914768547,1.1077884882626483,1.4078775981990597,1.4166668204919688,0.3587378673272587,1.4078775981990597,1.415987999276234,-1.4581230569004753,-1.506444967903368,-1.1735266449346657,-1.1876918458283525,-1.3362288955212185,-1.3722530695597446,0.9035503091577318,-0.6764330038776626
2011,-1.6645817063922423,-1.5261868686580227,-1.1940502154232011,-1.4014380385852354,1.3815391675065136,1.4772103236422973,0.02957968083315146,1.4778972276352662,1.4859160214077896,0.4837122535735715,1.4778972276352662,1.4851870105597624,-1.5433087111071089,-1.5506508897490137,-1.2063279351381009,-1.2185252813779814,-1.4052061109680427,-1.4059368619793768,1.114677258350977,0.9172047040025638
2012,-1.7869678862965697,-1.5965690167294175,-1.221266732671751,-1.4577892565461004,1.4469606445702512,1.5573994562851707,0.10079365660381205,1.5470846570035481,1.5558057718287979,0.41023968583091586,1.5470846570035481,1.5558138418242038,-1.6136089828312685,-1.6372645264499734,-1.2365259483412634,-1.2509003887050918,-1.4651073770139689,-1.475125192354838,0.03320722228025645,1.1293572558408218
2013,-1.9052920573113388,-1.685419207786489,-1.2439912033841327,-1.522320490017414,1.5080495734840742,1.6387439699427884,0.4086402149747239,1.6151262978488683,1.6255063645701033,0.3090812888098289,1.6151262978488683,1.625601256281547,-1.6849409147274805,-1.7087432543156444,-1.2633397014440715,-1.280706043069733,-1.5213782632995356,-1.535209795049317,0.1046365970124525,0.04263370507794828
2014,-2.109636097818875,-1.8267651745744977,-1.2675083881911322,-1.618662894918248,1.5705826851145368,1.71992544481148,0.7477450833901707,1.6820194323344284,1.6941554739890472,0.20768294173829402,1.6820194323344284,1.6942329460752843,-1.7749901097452196,-1.7812709362590085,-1.2857278836464163,-1.3071714085831645,-1.585817504045911,-1.5916529066714036,0.41341429043470457,0.1144100660946375
2015,-2.3054548966007338,-1.8490140767540915,-1.2783421474842442,-1.622298457367336,1.6274834841501056,1.8009368067271785,0.9417888450717437,1.7461544537859157,1.7611053890238224,-0.03582298255615146,1.7461544537859157,1.761706169799863,-1.9182434936359603,-1.8728296421833794,-1.308897048948843,-1.3292687040603985,-1.6820225676954288,-1.656289373206374,0.7535448400555306,0.4246877253919467
